,co2_emissions_mt,co2_emissions_per_capita,co2_transport_mt,co2_power_industry_mt,co2_buildings_mt,co2_industrial_mt,gdp_current_usd,gdp_per_capita,gdp_growth,energy_use_per_capita,electric_power_consumption,renewable_energy_pct,fossil_fuel_electricity_pct,population,urban_pop_pct,population_density,industry_value_added_pct,agriculture_value_added_pct,services_value_added_pct,access_to_electricity_pct,forest_area_pct,log_gdp,log_population,log_co2,co2_intensity
co2_emissions_mt,1.0,0.10069745908770632,0.7945901649650505,0.9921008991073947,0.917839962054628,0.9290517241057415,0.7948335355866797,0.08617932579485264,0.022218280529453346,0.12257106886635803,0.11119835740807396,-0.11355025487204129,0.04063823123458784,0.7340863695146947,0.07665619620656135,-0.021759347051829622,0.09892100841241808,-0.10079334419039365,0.044337235871426225,0.1185299411491283,-0.024942038094618244,0.3805818157281602,0.3272721327146368,0.4557464049709821,0.019283247635512455
co2_emissions_per_capita,0.10069745908770632,1.0,0.12635022790276912,0.09341234118001046,0.11562345240916683,0.0546207266711171,0.1149248779263533,0.30825764040672865,-0.02636364059206974,0.7808079912753291,0.6509835223783721,-0.34316167007250714,0.20301099379110918,-0.011973549241697534,0.35994665545783844,0.016416499419391,0.2089882363976227,-0.3744877773841523,0.17662276293437837,0.30109632484570537,0.0088998787439814,0.1570087700574186,-0.09778488207874923,0.25521429838705617,0.23728214918584478
co2_transport_mt,0.7945901649650505,0.12635022790276912,1.0,0.7652709468120851,0.8763122146299437,0.5371623731364208,0.9030399647374425,0.1764887816412394,-0.00789321872024985,0.18710364015107817,0.1794317965975458,-0.13152417690155882,0.020415039791993734,0.43507556230110045,0.13967854339469982,-0.026899981590038927,0.03400578074090574,-0.13706583007538625,0.1292570981308029,0.13223409210673112,0.0010238849394205362,0.4154929454420488,0.3188718323886836,0.45154737102751863,-0.007295974079472209
co2_power_industry_mt,0.9921008991073947,0.09341234118001046,0.7652709468120851,1.0,0.8827527032018319,0.9185552243734162,0.7689341213727547,0.07564752040767127,0.018264618159293165,0.11381017784961762,0.10330448312442594,-0.11811504132101415,0.05718601815387473,0.7196836037908162,0.07438945248081526,-0.018104223063152566,0.08763252435129534,-0.09008642601594133,0.042389763358752136,0.11237283417783406,-0.019041897929164203,0.36104474681078447,0.3161254227967102,0.43057638857961317,0.01797747270275487
co2_buildings_mt,0.917839962054628,0.11562345240916683,0.8763122146299437,0.8827527032018319,1.0,0.7741429625939695,0.8162962671329891,0.1349280650039885,0.006615580256470067,0.15929489398665875,0.1398988760563274,-0.16468885933663002,0.04156854132132446,0.6725701299722658,0.12068326714895442,-0.027941617109375833,0.08253570726253591,-0.12645444374102674,0.0774580009630455,0.15792873869069823,-0.026840922979286874,0.4606820810346846,0.3941301516269586,0.5382920892636553,0.029363510707343363
co2_industrial_mt,0.9290517241057415,0.0546207266711171,0.5371623731364208,0.9185552243734162,0.7741429625939695,1.0,0.5937391611225442,0.02893927403128706,0.03743051985983383,0.05605160219901412,0.048347567036872006,-0.08872054030995001,0.04227462716666548,0.7795055159691637,0.03637413382066523,-0.014980529471293835,0.11022008181128819,-0.05717178935600822,-0.004906138633181569,0.0943031121918852,-0.026283063073571113,0.306453997405323,0.2934476625657138,0.3754957164675916,0.02098607404162383
gdp_current_usd,0.7948335355866797,0.1149248779263533,0.9030399647374425,0.7689341213727547,0.8162962671329891,0.5937391611225442,1.0,0.2392547970312488,-0.011100212238235253,0.1729121142843228,0.18614746273383653,-0.12230688566973555,-0.006498817337305306,0.44791871156332946,0.1536698646913039,-0.01395446571405107,0.012654794829071152,-0.15540688545743536,0.16104185418740688,0.1342350122307154,0.00642527156785812,0.42169500949540933,0.30267098753426064,0.43643420653014575,-0.02601094822427152
gdp_per_capita,0.08617932579485264,0.30825764040672865,0.1764887816412394,0.07564752040767127,0.1349280650039885,0.02893927403128706,0.2392547970312488,1.0,-0.04980673022008897,0.6319504647920623,0.7101563995584814,-0.3546043479461678,-0.019812749886413954,-0.04843092774605286,0.5648207202683452,0.19228635862724455,-0.053578730212947887,-0.49712833175249677,0.4893889003378147,0.4149334259845201,-0.056469049625527803,0.3752424185098887,-0.14574068514861035,0.2021370645859512,-0.10236271985685826
gdp_growth,0.022218280529453346,-0.02636364059206974,-0.00789321872024985,0.018264618159293165,0.006615580256470067,0.03743051985983383,-0.011100212238235253,-0.04980673022008897,1.0,-0.040714116524835406,-0.06450865112777657,0.08330714886352322,0.010328074999466901,0.06067561510950433,-0.09305167464077144,0.028380956434713868,0.07341178597312215,0.04731437697371111,-0.10915882129009358,-0.09495707622045707,-0.007428721740147302,0.008729451963599665,0.05313661655033069,-0.01040157729442625,-0.06564582108707225
energy_use_per_capita,0.12257106886635803,0.7808079912753291,0.18710364015107817,0.11381017784961762,0.15929489398665875,0.05605160219901412,0.1729121142843228,0.6319504647920623,-0.040714116524835406,1.0,0.8363546318907159,-0.4071660173972462,0.12692258716973012,-0.05022199578760787,0.5689482692405531,0.10390590705095745,0.3035333302555319,-0.48893563375828625,0.2016443981795424,0.42509132483946793,-0.1370252156467113,0.33468638507992565,-0.15149480753008854,0.33738242701814275,0.01909424143329178
electric_power_consumption,0.11119835740807396,0.6509835223783721,0.1794317965975458,0.10330448312442594,0.1398988760563274,0.048347567036872006,0.18614746273383653,0.7101563995584814,-0.06450865112777657,0.8363546318907159,1.0,-0.2718531185651577,-0.05246243446909095,-0.055253207129696225,0.5487092818051046,0.0975543338311729,0.05757783882788853,-0.46569369556293255,0.347257558586249,0.40656254542199216,-0.0818321326785374,0.3355613306771525,-0.24895341647395802,0.2558457187414566,-0.044210011049112534
renewable_energy_pct,-0.11355025487204129,-0.34316167007250714,-0.13152417690155882,-0.11811504132101415,-0.16468885933663002,-0.08872054030995001,-0.12230688566973555,-0.3546043479461678,0.08330714886352322,-0.4071660173972462,-0.2718531185651577,1.0,-0.4952177659060709,0.007290319185494195,-0.5878241847724319,-0.13549489776797521,-0.15318028836608671,0.6589570434480114,-0.42762796304534084,-0.7897563756139433,0.14691605267614727,-0.21502260482559446,0.2559567516601012,-0.3173869671112271,-0.11656413247088529
fossil_fuel_electricity_pct,0.04063823123458784,0.20301099379110918,0.020415039791993734,0.05718601815387473,0.04156854132132446,0.04227462716666548,-0.006498817337305306,-0.019812749886413954,0.010328074999466901,0.12692258716973012,-0.05246243446909095,-0.4952177659060709,1.0,0.03096859701117853,0.14941354861340067,0.18966222407813285,0.07155071589396056,-0.1446005159586995,0.12356396266457517,0.18162721001453533,-0.19378605292404544,-0.1104294927619804,-0.24010594986053344,0.020235309939529683,0.09638763769803844
population,0.7340863695146947,-0.011973549241697534,0.43507556230110045,0.7196836037908162,0.6725701299722658,0.7795055159691637,0.44791871156332946,-0.04843092774605286,0.06067561510950433,-0.05022199578760787,-0.055253207129696225,0.007290319185494195,0.03096859701117853,1.0,-0.07021145788817974,-0.01879805672305864,0.1043022225205042,0.02728122191163201,-0.07825058130798555,0.02994213395113696,-0.050875705698379695,0.3530637250551198,0.41715992145511294,0.43588786530676304,0.028991618992528955
urban_pop_pct,0.07665619620656135,0.35994665545783844,0.13967854339469982,0.07438945248081526,0.12068326714895442,0.03637413382066523,0.1536698646913039,0.5648207202683452,-0.09305167464077144,0.5689482692405531,0.5487092818051046,-0.5878241847724319,0.14941354861340067,-0.07021145788817974,1.0,0.22310759531161842,0.15727587380538596,-0.6841546546183159,0.4633913132856926,0.6518964400400263,-0.04862094917309077,0.4055406852116703,-0.11236871357718589,0.3454750956389437,0.007538512007918568
population_density,-0.021759347051829622,0.016416499419391,-0.026899981590038927,-0.018104223063152566,-0.027941617109375833,-0.014980529471293835,-0.01395446571405107,0.19228635862724455,0.028380956434713868,0.10390590705095745,0.0975543338311729,-0.13549489776797521,0.18966222407813285,-0.01879805672305864,0.22310759531161842,1.0,-0.1395182372450113,-0.14670938933965064,0.2819029594568406,0.0998356735376284,-0.13141782442026348,0.03613666652513225,-0.09195497887687765,-0.04145568837840116,-0.03294366291061807
industry_value_added_pct,0.09892100841241808,0.2089882363976227,0.03400578074090574,0.08763252435129534,0.08253570726253591,0.11022008181128819,0.012654794829071152,-0.053578730212947887,0.07341178597312215,0.3035333302555319,0.05757783882788853,-0.15318028836608671,0.07155071589396056,0.1043022225205042,0.15727587380538596,-0.1395182372450113,1.0,-0.252596608730209,-0.5343111807793816,0.11536764508047832,-0.004544113064245123,0.3229737397112394,0.3065517837109812,0.40802009046881305,0.1301795673641859
agriculture_value_added_pct,-0.10079334419039365,-0.3744877773841523,-0.13706583007538625,-0.09008642601594133,-0.12645444374102674,-0.05717178935600822,-0.15540688545743536,-0.49712833175249677,0.04731437697371111,-0.48893563375828625,-0.46569369556293255,0.6589570434480114,-0.1446005159586995,0.02728122191163201,-0.6841546546183159,-0.14670938933965064,-0.252596608730209,1.0,-0.5979912476314525,-0.7152165996244886,0.01886406079944858,-0.42153559246021727,0.12624053466719493,-0.37220810709364094,0.05376451229821103
services_value_added_pct,0.044337235871426225,0.17662276293437837,0.1292570981308029,0.042389763358752136,0.0774580009630455,-0.004906138633181569,0.16104185418740688,0.4893889003378147,-0.10915882129009358,0.2016443981795424,0.347257558586249,-0.42762796304534084,0.12356396266457517,-0.07825058130798555,0.4633913132856926,0.2819029594568406,-0.5343111807793816,-0.5979912476314525,1.0,0.45204714639985677,-0.014371633180605638,0.11614347239751996,-0.33479973962445314,0.0015737037118610932,-0.1487332533551563
access_to_electricity_pct,0.1185299411491283,0.30109632484570537,0.13223409210673112,0.11237283417783406,0.15792873869069823,0.0943031121918852,0.1342350122307154,0.4149334259845201,-0.09495707622045707,0.42509132483946793,0.40656254542199216,-0.7897563756139433,0.18162721001453533,0.02994213395113696,0.6518964400400263,0.0998356735376284,0.11536764508047832,-0.7152165996244886,0.45204714639985677,1.0,-0.04242270211822091,0.3407317376724074,-0.16636781226460773,0.3803591378422709,0.12669573035507686
forest_area_pct,-0.024942038094618244,0.0088998787439814,0.0010238849394205362,-0.019041897929164203,-0.026840922979286874,-0.026283063073571113,0.00642527156785812,-0.056469049625527803,-0.007428721740147302,-0.1370252156467113,-0.0818321326785374,0.14691605267614727,-0.19378605292404544,-0.050875705698379695,-0.04862094917309077,-0.13141782442026348,-0.004544113064245123,0.01886406079944858,-0.014371633180605638,-0.04242270211822091,1.0,-0.13939323735438308,-0.14572265858592195,-0.14938200419140274,-0.04596291756501339
log_gdp,0.3805818157281602,0.1570087700574186,0.4154929454420488,0.36104474681078447,0.4606820810346846,0.306453997405323,0.42169500949540933,0.3752424185098887,0.008729451963599665,0.33468638507992565,0.3355613306771525,-0.21502260482559446,-0.1104294927619804,0.3530637250551198,0.4055406852116703,0.03613666652513225,0.3229737397112394,-0.42153559246021727,0.11614347239751996,0.3407317376724074,-0.13939323735438308,1.0,0.7728176812534217,0.9046666547839518,-0.0693149440696958
log_population,0.3272721327146368,-0.09778488207874923,0.3188718323886836,0.3161254227967102,0.3941301516269586,0.2934476625657138,0.30267098753426064,-0.14574068514861035,0.05313661655033069,-0.15149480753008854,-0.24895341647395802,0.2559567516601012,-0.24010594986053344,0.41715992145511294,-0.11236871357718589,-0.09195497887687765,0.3065517837109812,0.12624053466719493,-0.33479973962445314,-0.16636781226460773,-0.14572265858592195,0.7728176812534217,1.0,0.763947749259528,0.03596001273698264
log_co2,0.4557464049709821,0.25521429838705617,0.45154737102751863,0.43057638857961317,0.5382920892636553,0.3754957164675916,0.43643420653014575,0.2021370645859512,-0.01040157729442625,0.33738242701814275,0.2558457187414566,-0.3173869671112271,0.020235309939529683,0.43588786530676304,0.3454750956389437,-0.04145568837840116,0.40802009046881305,-0.37220810709364094,0.0015737037118610932,0.3803591378422709,-0.14938200419140274,0.9046666547839518,0.763947749259528,1.0,0.10643426056170968
co2_intensity,0.019283247635512455,0.23728214918584478,-0.007295974079472209,0.01797747270275487,0.029363510707343363,0.02098607404162383,-0.02601094822427152,-0.10236271985685826,-0.06564582108707225,0.01909424143329178,-0.044210011049112534,-0.11656413247088529,0.09638763769803844,0.028991618992528955,0.007538512007918568,-0.03294366291061807,0.1301795673641859,0.05376451229821103,-0.1487332533551563,0.12669573035507686,-0.04596291756501339,-0.0693149440696958,0.03596001273698264,0.10643426056170968,1.0
